Id,English,Portuguese
779,convert,converter
780,convey,transmitir
781,convince,convencer
782,cool,frio/legal
783,cooperate,cooperar
784,cope,lidar
785,copy,copiar
786,cord,corda/fio
787,core,cerne/núcleo
788,corner,canto/esquina
789,correct,correto/corrigir
790,correlate,correlacionar
791,cost,custo
792,cotton,algodão
793,couch,sofá
794,could,poderia
795,count,contar
796,couple,casal/par
797,courage,coragem
798,course,curso
799,cousin,primo/prima
800,cover,cobrir
801,cow,vaca
802,crack,rachadura/rachar
803,craft,artesanato
804,crash,acidente/travar
805,crate,caixote
806,crawl,rastejar
807,crazy,maluco
808,cream,creme
809,create,criar
810,credit,crédito
811,creep,rastejar/arrepiar
812,crew,equipe/tripulação
813,cricket,grilo/críquete
814,crime,crime
815,crisis,crise
816,criteria,critérios
817,critic,crítico
818,critical,crítico
819,criticize,criticar
820,crop,colheita/cultivo
821,cross,cruzar/cruz
822,crow,corvo
823,crowd,multidão
824,cruise,cruzeiro
825,crumble,esmigalhar
826,crush,esmagar
827,cry,chorar
828,crystal,cristal
829,cube,cubo
830,culture,cultura
831,cup,xícara
832,cupboard,armário
833,curious,curioso
834,curl,encaracolar
835,current,atual/corrente
836,curtain,cortina
837,curve,curva
838,custom,costume
839,customer,cliente
840,cut,cortar
841,cycle,ciclo
842,cyclic,cíclico
843,dad,pai (informal)
844,damage,danificar/dano
845,damp,úmido
846,dance,dançar/dança
847,data,dados
848,date,data/namoro
849,daughter,filha
850,deal,acordo/lidar
851,debug,depurar
852,deploy,implantar (tecnologia)
853,download,baixar
854,upload,carregar (para a internet)
855,server,servidor
856,client,cliente (em tecnologia)
857,cloud,nuvem (tecnologia)
858,backup,backup/cópia de segurança
859,firewall,firewall
860,router,roteador
861,ethernet,ethernet
862,wifi,wi-fi
863,bluetooth,bluetooth
864,keyboard,teclado
865,mouse,mouse
866,monitor,monitor
867,printer,impressora
868,scanner,scanner
869,folder,pasta
870,file,arquivo
871,format,formatar/formato
872,login,login
873,logout,logout/sair
874,update,atualizar
875,upgrade,atualizar/melhorar
876,install,instalar
877,uninstall,desinstalar
878,configure,configurar
879,setting,configuração
880,password,senha
881,username,nome de usuário
882,encrypt,criptografar
883,decrypt,descriptografar
884,share,compartilhar
885,link,link/conexão
886,domain,domínio
887,host,hospedar
888,virtual,virtual
889,hardware,hardware
890,software,software
891,application,aplicativo
892,program,programa
893,coding,codificação
894,compile,compilar
895,execute,executar
896,run,rodar/executar
897,algorithm,algoritmo
898,debug,depurar
899,error,erro
900,patch,correção/patch
901,version,versão
902,command,comando
903,shell,shell (linha de comando)
904,script,script
905,syntax,sintaxe
906,variable,variável
907,function,função
908,parameter,parâmetro
909,argument,argumento
910,library,biblioteca
911,framework,framework
912,interface,interface
913,instance,instância
914,object,objeto
915,class,classe
916,method,método
917,module,módulo
918,package,pacote
919,protocol,protocolo
920,bandwidth,largura de banda
921,cache,cache
922,cookie,cookie
923,encrypt,criptografar
924,proxy,proxy
925,query,consulta
926,remote,remoto
927,session,sessão
928,stack,pilha
929,queue,fila
930,thread,thread (fio de execução)
931,process,processo
932,background,fundo (processo em segundo plano)
933,foreground,primeiro plano
934,render,renderizar
935,refresh,atualizar/atualizar página
936,reboot,reiniciar
937,recover,recuperar
938,restore,restaurar
939,rollback,restaurar estado anterior
940,commit,commit (confirmação de alteração)
941,branch,ramo/branch (versão paralela)
942,merge,mesclar
943,push,enviar
944,pull,puxar
945,fork,dividir/ramificar
946,clone,clonar
947,repository,repositório
948,control,controle
949,test,teste/testar
950,deploy,implantar
951,virtual machine,máquina virtual
952,cloud computing,computação em nuvem
953,orchard,pomar
954,costume,fantasia/roupa típica
955,shelf,prateleira
956,fountain,fonte
957,meadow,prado/campo
958,wheat,trigo
959,barley,cevada
960,oat,aveia
961,rye,centeio
962,harvest,colheita
963,shovel,pá
964,rake,ancinho
965,plow,arado
966,barn,celeiro
967,stable,estábulo
968,donkey,burro
969,mule,mula
970,shepherd,pastor (de ovelhas)
971,goat,cabra
972,sheep,ovelha
973,lamb,cordeiro
974,pig,porco
975,hog,porco (adulto)/suíno
976,sow,porca (fêmea do porco)
977,boar,javali
978,deer,cervo
979,elk,alce
980,moose,alce americano
981,reindeer,rena
982,fox,raposa
983,wolf,lobo
984,cougar,puma
985,jaguar,jaguar/onça
986,leopard,leopardo
987,lion,leão
988,tiger,tigre
989,panther,pantera
990,cheetah,guepardo
991,rhinoceros,rinoceronte
992,hippopotamus,hipopótamo
993,giraffe,girafa
994,zebra,zebra
995,whale,baleia
996,dolphin,golfinho
997,shark,tubarão
998,squid,lula
999,octopus,polvo
1000,crab,caranguejo
1001,lobster,lagosta
1002,shrimp,camarão
1003,oyster,ostra
1004,clam,amêijoa/marisco
1005,mussel,mexilhão
1006,scallop,vieira
1007,seal,foca
1008,walrus,morsa
1009,penguin,pinguim
1010,polar bear,urso polar
1011,koala,coala
1012,kangaroo,canguru
1013,camel,camelo
1014,llama,lhama
1015,alpaca,alpaca
1016,bison,bisão
1017,yak,iaque
1018,ant,formiga
1019,bee,abelha
1020,wasp,vespa
1021,hornet,vespa grande/zangão
1022,beetle,besouro
1023,ladybug,joaninha
1024,butterfly,borboleta
1025,moth,mariposa
1026,caterpillar,lagarta
1027,grasshopper,gafanhoto
1028,dragonfly,libélula
1029,damselfly,donzelinha
1030,spider,aranha
1031,tarantula,tarântula
1032,scorpion,escorpião
1033,snail,caracol
1034,slug,lesma
1035,worm,minhoca/verme
1036,centipede,centopeia
1037,millipede,milípede
1038,termite,cupim
1039,cockroach,barata
1040,fly,mosca/voar
1041,mosquito,mosquito
1042,flea,pulga
1043,tick,carrapato
1044,louse,piolho
1045,mite,ácaro
1046,aphid,pulgão
1047,cicada,cigarra
1048,mantis,louva-a-deus
1049,earwig,tesourinha
1050,leafhopper,cigarrinha
1051,woodlouse,bicho-de-conta
1052,silverfish,traça prateada
1053,firefly,vaga-lume
1054,glowworm,vagalume (larva)
1055,antlion,formiga-leão
1056,lacewing,crisopa
1057,bee eater,papa-abelhas
1058,hummingbird,beija-flor
1059,eagle,águia
1060,hawk,falcão/gavião
1061,falcon,falcão
1062,vulture,abutre
1063,raven,corvo grande
1064,magpie,pega (ave)
1065,jay,gaio
1066,cardinal,cardeal
1067,robin,tordo
1068,swallow,andorinha
1069,swift,andorinhão
1070,nightingale,rouxinol
1071,canary,canário
1072,sparrow,pardal
1073,finch,tentilhão
1074,pigeon,pombo
1075,dove,pomba
1076,ostrich,avestruz
1077,emu,ema
1078,cassowary,casuar
1079,peacock,pavão
1080,turkey,peru
1081,goose,ganso
1082,duck,pato
1083,swan,cisne
1084,woodpecker,pica-pau
1085,crane,grou/guindaste
1086,heron,garça
1087,stork,cegonha
1088,pelican,pelicano
1089,flamingo,flamingo
1090,seagull,gaivota
1091,albatross,albatroz
1092,puffin,papagaio-do-mar
1093,cormorant,corvo-marinho
1094,osprey,gavião-pescador
1095,jellyfish,água-viva
1096,coral,coral
1097, sponge,esponja
1098,starfish,estrela-do-mar
1099,sea urchin,ouriço-do-mar
1100,sea cucumber,pepino-do-mar
1101,seahorse,cavalo-marinho
1102,manatee,peixe-boi
1103,dugong,dugongo
1104,narwhal,narval
1105,beluga,beluga
1106,orca,orca
1107,swordfish,peixe-espada
1108,marlin,marlim
1109,tuna,atum
1110,salmon,salmão
1111,trout,truta
1112,cod,bacalhau
1113,herring,arenque
1114,sardine,sardinha
1115,anchovy,anchova
1116,mackerel,cavala
1117,pike,lúcio
1118,catfish,bagre
1119,carp,carpa
1120,eel,enguia
1121,electric eel,enguia elétrica
1122,frog,rã/sapo
1123,toad,sapo
1124,newt,tritão
1125,salamander,salamandra
1126,turtle,tartaruga
1127,tortoise,jabuti
1128,terrapin,cágado
1129,crocodile,crocodilo
1130,alligator,jacaré
1131,caiman,caimão
1132,gharial,gavial
1133,snake,cobra/serpente
1134,python,píton
1135,boa,jiboia
1136,viper,víbora
1137,cobra,cobra
1138,mamba,mamba
1139,anaconda,anaconda
1140,rattlesnake,cascavel
1141,lizard,lagarto
1142,gecko,lagartixa
1143,iguana,iguana
1144,chameleon,camaleão
1145,monitor lizard,lagarto monitor
1146,komodo dragon,dragão-de-komodo
1147,basilisk,basilisco
1148,dragon (mythical),dragão
1149,dinosaur,dinossauro
1150,fossil,fóssil
1151,galaxy,galáxia
1152,universe,universo
1153,star,estrela
1154,planet,planeta
1155,asteroid,asteróide
1156,comet,cometa
1157,meteor,meteoro
1158,meteorite,meteorito
1159,nebula,nebulosa
1160,black hole,buraco negro
1161,white dwarf,anã branca
1162,red giant,gigante vermelha
1163,supernova,supernova
1164,quasar,quasar
1165,pulsar,pulsar
1166,constellation,constelação
1167,cosmos,cosmo
1168,orbit,órbita/orbitar
1169,telescope,telescópio
1170,satellite,satélite
1171,rocket,foguete
1172,spaceship,nave espacial
1173,astronaut,astronauta
1174,cosmonaut,cosmonauta
1175,launch,lançamento/lançar
1176,land (v),pousar/terra
1177,moon,lua
1178,sun,sol
1179,solar system,sistema solar
1180,Milky Way,Via Láctea
1181,Andromeda,Andrômeda
1182,light-year,ano-luz
1183,gravity,gravidade
1184,atmosphere,atmosfera
1185,oxygen,oxigênio
1186,hydrogen,hidrogênio
1187,helium,hélio
1188,radiation,radiação
1189,cosmic,cósmico
1190,infinite,infinito
1191,dimension,dimensão
1192,parallel universe,universo paralelo
1193,wormhole,buraco de minhoca
1194,spacetime,espaço-tempo
1195,relativity,relatividade
1196,quantum,quântico
1197,particle,partícula
1198,proton,próton
1199,neutron,nêutron
1200,electron,elétron
1201,nucleus,núcleo
1202,atom,átomo
1203,molecule,molécula
1204,compound,composto
1205,chemical,químico
1206,reaction,reação
1207,solution,solução
1208,mixture,mistura
1209,isotope,isótopo
1210,ion,íon
1211,acid,ácido
1212,base (chemistry),base (química)
1213,alkali,álcali
1214,salt,sal
1215,sugar,açúcar
1216,starch,amido
1217,protein,proteína
1218,enzyme,enzima
1219,dna,DNA
1220,rna,RNA
1221,gene,gene
1222,chromosome,cromossomo
1223,membrane,membrana
1224,cytoplasm,citoplasma
1225,mitochondria,mitocôndria
1226,ribosome,ribossomo
1227,bacteria,bactéria
1228,virus,vírus
1229,fungus,fungo
1230,algae,alga
1231,protozoa,protozoário
1232,amoeba,ameba
1233,parasite,parasita
1234,symbiosis,simbiose
1235,ecosystem,ecossistema
1236,habitat,habitat
1237,niche,nicho
1238,biodiversity,biodiversidade
1239,evolution,evolução
1240,mutation,mutação
1241,adaptation,adaptação
1242,species,espécie
1243,genus,gênero
1244,family (biology),família (biologia)
1245,order (biology),ordem (biologia)
1246,phylum,filo
1247,kingdom (biology),reino (biologia)
1248,domain (biology),domínio (biologia)
1249,biome,bioma
1250,biosphere,biosfera
1251,conservation,conservação
1252,endangered,ameaçado
1253,extinct,extinto
1254,pollution,poluição
1255,greenhouse,estufa
1256,greenhouse gas,gás de efeito estufa
1257,deforestation,desmatamento
1258,desertification,desertificação
1259,erosion,erosão
1260,drought,seca
1261,flood,inundação/enchente
1262,hurricane,furacão
1263,tornado,tornado
1264,cyclone,ciclone
1265,typhoon,tufão
1266,earthquake,terremoto
1267,tsunami,tsunami
1268,volcano,vulcão
1269,lava,lava
1270,magma,magma
1271,crust,crosta
1272,mantle,manto
1273,plate tectonics,tectônica de placas
1274,sediment,sedimento
1275,mineral,mineral
1276,gemstone,pedra preciosa
1277,diamond,diamante
1278,sapphire,safira
1279,ruby,rubi
1280,emerald,esmeralda
1281,opal,opala
1282,topaz,topázio
1283,quartz,quartzo
1284,granite,granito
1285,marble,mármore
1286,limestone,calcário
1287,sandstone,arenito
1288,basalt,basalto
1289,shale,xisto
1290,soil,solo/terra
1291,humus,húmus
1292,fertilizer,fertilizante
1293,pesticide,pesticida
1294,herbicide,herbicida
1295,yield,rendimento/produto
1296,irrigation,irrigação
1297,vineyard,vinhedo
1298,plantation,plantação
1299,farmland,terra agrícola
1300,pasture,pastagem
1301,ranch,fazenda de gado
1302,dairy,laticínios
1303,poultry,aves domésticas
1304,livestock,gado/pecuária
1305,grain,grão
1306,maize,milho
1307,soybean,soja
1308,sunflower,girassol
1309,olive,azeitona
1310,grape,uva
1311,apple,maçã
1312,pear,pera
1313,peach,pêssego
1314,plum,ameixa
1315,cherry,cereja
1316,strawberry,morango
1317,raspberry,framboesa
1318,blackberry,amora
1319,blueberry,mirtilo
1320,cranberry,oxicoco
1321,watermelon,melancia
1322,melon,melão
1323,kiwi,kiwi/quiuí
1324,banana,banana
1325,pineapple,abacaxi
1326,mango,manga
1327,papaya,mamão
1328,guava,goiaba
1329,fig,figo
1330,date (fruit),tâmara
1331,avocado,abacate
1332,pomegranate,romã
1333,lychee,lichia
1334,passion fruit,maracujá
1335,dragon fruit,pitaya
1336,starfruit,carambola
1337,jackfruit,jaca
1338,breadfruit,fruta-pão
1339,durian,durião
1340,tamarind,tamarindo
1341,cocoa,cacau
1342,tea,chá
1343,ginger,gengibre
1344,turmeric,açafrão-da-terra/curcuma
1345,cinnamon,canela
1346,nutmeg,noz-moscada
1347,clove,cravo-da-índia
1348,pepper (spice),pimenta
1349,chili,pimenta chili
1350,paprika,páprica
1351,basil,manjericão
1352,parsley,salsa
1353,cilantro,coentro
1354,thyme,tomilho
1355,rosemary,alecrim
1356,oregano,orégano
1357,sage,sálvia
1358,mint,hortelã
1359,dill,endro
1360,bay leaf,louro (folha)
1361,lavender,lavanda
1362,chamomile,camomila
1363,jasmine,jasmim
1364,rose,rosa
1365,lily,lírio
1366,daisy,margarida
1367,tulip,tulipa
1368,orchid,orquídea
1369,chrysanthemum,crisântemo
1370,carnation,cravo
1371,poppy,papoula
1372,violet,violeta
1373,pansy,amor-perfeito
1374,marigold,calêndula
1375,hibiscus,hibisco
1376,lotus,lótus
1377,fern,samambaia
1378,moss,musgo
1379,pine,pinheiro
1380,oak,carvalho
1381,maple,bordo
1382,birch,bétula
1383,willow,salgueiro
1384,aspen,álamo
1385,cedar,cedro
1386,cypress,cipreste
1387,redwood,sequoia
1388,spruce,abeto
1389,fir,pinheiro-abeto
1390,eucalyptus,eucalipto
1391,bamboo,bambu
1392,palm,palmeira
1393,rubber tree,seringueira
1394,mahogany,mogno
1395,teak,teca
1396,rosewood,jacarandá
1397,sandalwood,sândalo
1398,ebony,ébano
1399,flax,linho
1400,hemp,cânhamo
1401,jute,juta
1402,sisal,sisal
1403,agave,agave
1404,aloe vera,babosa
1405,cactus,cacto
1406,mushroom,cogumelo
1407,truffle,trufa
1408,yeast,fermento
1409,mold,mofo
1410,penicillin,penicilina
1411,bacteriophage,bacteriófago
1412,antibiotic,antibiótico
1413,vaccine,vacina
1414,remedy,remédio
1415,drug (medicine),droga/medicamento
1416,pharmacy,farmácia
1417,hospital,hospital
1418,nurse,enfermeira/enfermeiro
1419,doctor,médico/médica
1420,surgeon,cirurgião/cirurgiã
1421,dentist,dentista
1422,patient,paciente
1423,symptom,sintoma
1424,diagnosis,diagnóstico
1425,therapy,terapia
1426,treatment,tratamento
1427,cure,curar/cura
1428,infection,infecção
1429,inflammation,inflação (médico: inflamação)
1430,allergy,alergia
1431,headache,dor de cabeça
1432,fever,febre
1433,pain,dor
1434,ache,dor incômoda
1435,fracture,fratura
1436,wound,ferida
1437,surgery,cirurgia
1438,bandage,bandagem
1439,plaster,gesso
1440,crutch,muleta
1441,wheelchair,cadeira de rodas
1442,ambulance,ambulância
1443,emergency,emergência
1444,ward,enfermaria
1445,infirmary,enfermaria
1446,laboratory,laboratório
1447,microscope,microscópio
1448,scan (medical),escanear/raio-x
1449,x-ray,raio-x
1450,ultrasound,ultrassom
1451,stethoscope,estetoscópio
1452,thermometer,termômetro
